Fecha_Presentación;Duración_mmss;P1-Autorización;P2-Edad;P3-País;P4-Ciudad;P5-Género;P6-Estrato;P7-Actividad_Actual_Multi;P8-Nivel_Educativo;P9-Frecuencia_Uso_Servicios_Públicos;P10-Servicios_Públicos_Usados_Multi;P11-Motivo_Desplazamiento_Multi;P12-Estado_Licencia_Conducción;P13-Posee_Veh_Propio;P14-Frecuencia_Uso_Veh[P13];P15-Cantidad_Veh_Propios[P13];P16-Modo_Uso_Veh[P15-U];P17-Tipo_Veh[P15-U];P18-Modo_Uso_Veh[P15-Multi];P19-Tipo_Veh[P15-Multi];P20-Conoce_P2P;P21-Beneficios_P2P;P22-Desventajas_P2P;P23-Ha_Rentado_Su_Veh;P24N-Forma_Renta[P21];P25N-Aspectos_Positivos_Exp[P21];P26N-Aspectos_Negativos_Exp2[P21];P27-Ha_Tomado_En_Renta;P28N-Lugar_donde_Rentó[P25];P29N-Entidades_Donde_Rentó[P25];P30N-Beneficios_Experiencia[P25];P31N-Desventajas_Experiencia[P25];P32-Interés_Propietario;P33-Modo_Preferido_Renta_Veh[P30];P34[A]-Prioridad:Seguro_Vehicular[P30];P34[B]-Prioridad:GPS_Vehicular[P30];P34[C]-Prioridad:Autentificar_Todos_Los_Users[P30];P34[D]-Prioridad:Seguridad_Pagos_Plataforma[P30];P34[E]-Prioridad:Comunicación_Directa_Cliente[P30];P34[F]-Prioridad:Apoyo_Precios[P30];P34[G]-Prioridad:Contratos_Automáticos[P30];P34[H]-Prioridad:Variedad_Pagos[P30];P34[I]-Prioridad:Reseñas_Clientes[P30];P34[J]-Prioridad:Contacto_FlexDrive[P30];P34[K]-Prioridad:Asistencia_Legal[P30];P34[L]-Prioridad:Apoyo_Cómo_Cobrar[P30];P35N-Otras_Prioridades[P30];P36-Modelo_Confianza_Multi[P30];P37-Precio_Horas_Propietario_Multi[P30];P38_Precio_Dia_Propietario_Multi[P30];P39_Recibir_Pagos_Propietario[P30];P40[A]-Confianza:Edad_Experiencia_Cliente[P30];P40[B]-Confianza:Antecedentes_Cliente[P30];P40[C]-Confianza:Medio_Pago_Ofertado[P30];P40[D]-Confianza:Calificación_Que_Tiene_El_Cliente[P30];P40[E]-Confianza:Motivo_Solicitud[P30];P41N-Otros_Motivos_Para_Rentar_Seguro[P30];P42-Pago_FlexDrive_Propietarios[P30];P43-Interés_Cliente;P44-Modo_Preferido_Renta_Veh[P41];P45[A]-Prioridad:Comunicación_Propietario[P41];P45[B]-Prioridad:Facilidad_Variedad_Pagos[P41];P45[C]-Prioridad:Variedad_Seguros[P41];P45[D]-Prioridad:Verificación_Usuarios[P41];P45[E]-Prioridad:Apoyo_Dudas[P42];P45[F]-Prioridad:Precios_y_Ofertas[P41];P45[G]-Prioridad:Comunicación_FlexDrive[P41];P45[H]-Prioridad:Reseñar_Propietarios[P41];P45[I]-Prioridad:Modelo_Renta_en_15MINS[P41];P45[J]-Prioridad:Modelo_Negociación[P41];P46N-Otras_Prioridades_Para_Tomar_en_Renta[41];P47-Precio_Horas_Cliente_Multi[P41];P48-Precio_Dia_Cliente_Multi[P41];P49[A]-Confianza:Negociar_con_Propietario[P41];P49[B]-Confianza:Antigüedad_Veh[P41];P49[C]-Confianza:Medio_de_Pago_Recibido[P41];P49[D]-Confianza:Reseñas_Veh[P41];P49[E]-Confianza:Reseñas_Propietario[P41];P49[F]-Confianza:Claridad_Contrato[P41];P49[G]-Confianza:Punto_Entrega_Devolución_Vehículo[P41];P49[H]-Confianza:Revisión_Tecnicomecánica_Veh[P41];P50N-Otros_Puntos_Confianza_para_Rentar[P41];P51-¿Entiende_FlexDrive?;P52-¿Usaria_FlexDrive?;P53-Preferencias_para_Comunicarse_con_FlexDrive;Duración_Minutos;Duración_Rango
2025-05-02;13:26;Acepto.;46-55;Colombia;Tunja (Boyacá);Femenino.;4 - (Medio Alto);Soy empleado;Especialización o Diplomado de Posgrado (estudios posteriores con enfoque técnico o profesional).;Rara vez.;Buses municipales;Por trabajo;Poseo licencia de conducción vigente o próxima a renovar.;Sí;Diariamente.;Un único vehículo.;Ocasionalmente lo comparto con mi familia, amigos o conocidos.;Automóvil (carros, camionetas, entre otros);;;No;Mayor flexibilidad en horarios;Falta de control en la entrega o devolución del vehículo;No;;;;No;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No me llama la atención, gracias.;;;;;;;;;;;;;;;;;;;;;;;;Clara;Probable - Me gustaría conocer más de la plataforma antes de entrar.;Por llamada telefónica;13;[12, 14)
2025-05-02;20:45;Acepto.;46-55;Colombia;Yopal (Casanare);Masculino.;4 - (Medio Alto);Soy empresario;Pregrado universitario (Grado o Licenciatura).;Rara vez.;Taxis;"Por trabajo;Por compromisos personales o familiares;Por turismo";Poseo licencia de conducción vigente o próxima a renovar.;Sí;Diariamente.;Un único vehículo.;Ocasionalmente lo comparto con mi familia, amigos o conocidos.;Automóvil (carros, camionetas, entre otros);;;No;"Mejor negociación en condiciones de arriendo;Posibilidad de generar ingresos como propietario del vehículo;Diversidad de vehículos para rentar / arrendar;Mayor flexibilidad en horarios;Experiencia de negocio más personalizada;Promueve la economía colaborativa;Aprovechamiento de vehículos particulares inactivos";"Posibles daños o mal uso del vehículo rentado;Desconfianza frente a clientes / personas desconocidas;Falta de regulación por parte de entidades oficiales;Posible uso de vehículos para fines no autorizados;Falta de control en la entrega o devolución del vehículo";No;;;;Sí;;;"Facilidad en el acceso al servicio.;";;Sí;"Por horas.;Por días (cualquier día).;Solo los fines de semana.;Solo durante semana (lunes a viernes).;A disposición personal.;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;"Reciba solicitudes y pueda aceptarlas o denegarlas.;Pueda configurar qué tipo de solicitudes quiero recibir, para luego aceptarlas o denegarlas.;Pueda confiar en la plataforma para que me consulten, o ellos mismos acepten y denieguen un servicio que me solicitan.;";"Entre $30.000 a $50.000 la hora.;";"Entre $200.000 a $250.000 el día.;";"Por transacción bancaria inmediata, una vez aprobado el servicio por mí y el cliente;Un respaldo con un pagaré automatizado por transferencia bancaria al finalizar el servicio por medio de Flex Drive";🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;;"Aceptaría pagar una comisión del 4% al 9% por servicio.;Aceptaría pagar una comisión del 10% al 14% por servicio.;";¡Sí, me apuntaría en el presente o en el futuro!;"Por días.;";🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;;"No me encuentro interesado en rentar por horas.;";"Entre $100.000 a $150.000 el día.;";🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;;;;Clara;Muy probable - Me gustaría inscribirme en la plataforma.;"Un chat en la plataforma;Por correo electrónico;Por llamada telefónica;Por chat con asesor mediante Whatsapp;Con un chatbot (Sea por plataforma, Whatsapp, u otro medio.)";20;[20, 22)
2025-05-02;07:45;Acepto.;26-35;Colombia;Tunja (Boyacá);Femenino.;4 - (Medio Alto);Soy empleado;Especialización o Diplomado de Posgrado (estudios posteriores con enfoque técnico o profesional).;Rara vez.;"Taxis;Buses intermunicipales";"Por trabajo;Por turismo";Poseo licencia de conducción vigente o próxima a renovar.;Sí;Diariamente.;Un único vehículo.;Ocasionalmente lo comparto con mi familia, amigos o conocidos.;Automóvil (carros, camionetas, entre otros);;;No;"Aprovechamiento de vehículos particulares inactivos;Experiencia de negocio más personalizada;Diversidad de vehículos para rentar / arrendar;Posibilidad de generar ingresos como propietario del vehículo";"Posibles daños o mal uso del vehículo rentado;Falta de regulación por parte de entidades oficiales;Falta de control en la entrega o devolución del vehículo";No;;;;No;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No me llama la atención, gracias.;;;;;;;;;;;;;;;;;;;;;;;;Clara;Neutral - Es un buen concepto que requiere más desarrollo.;Por chat con asesor mediante Whatsapp;7;[6, 8)
2025-05-02;16:45;Acepto.;46-55;Colombia;Tunja (Boyacá);Masculino.;4 - (Medio Alto);Soy empleado;Maestría (Estudios avanzados académicos o profesionales luego del posgrado).;Rara vez.;Buses municipales;Por trabajo;Poseo licencia de conducción vigente o próxima a renovar.;Sí;Diariamente.;Varios vehículos.;;;"Sí, comparto mi vehículo personal con familiares, amigos o conocidos.;";"Moticicleta;Automóvil (carros, camionetas, entre otros);";Sí;"Promueve la economía colaborativa;Aprovechamiento de vehículos particulares inactivos";"Posibles daños o mal uso del vehículo rentado;Falta de control en la entrega o devolución del vehículo";No;;;;No;;;;;Sí;"Por días (cualquier día).;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟢Prioridad Baja🟢;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;"Apoyo legal por infracciones realizadas por el arrendador;Seguros para el conductor / arrendador";"Reciba solicitudes y pueda aceptarlas o denegarlas.;Pueda confiar en la plataforma para que me consulten, o ellos mismos acepten y denieguen un servicio que me solicitan.;";"Entre $50.000 a $80.000 la hora.;";"Entre $250.000 a $350.000 el día.;";Por transacción bancaria inmediata, una vez aprobado el servicio por mí y el cliente;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;Revisar 40E;"Aceptaría pagar una comisión del 4% al 9% por servicio.;";¡Sí, me apuntaría en el presente o en el futuro!;"Por horas.;Por días.;";🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;;"Entre $15.000 a $30.000 la hora.;Entre $30.000 a $50.000 la hora.;";"Entre $100.000 a $150.000 el día.;Entre $150.000 a $200.000 el día.;";🟢Prioridad Baja🟢;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;;;;Clara;Probable - Me gustaría conocer más de la plataforma antes de entrar.;"Un chat en la plataforma;Por correo electrónico;Por chat con asesor mediante Whatsapp;Con un chatbot (Sea por plataforma, Whatsapp, u otro medio.)";16;[16, 18)
2025-05-02;22:59;Acepto.;16-17;Colombia;Tunja (Boyacá);Masculino.;2 - (Bajo - Medio);Soy estudiante en estudios superiores o universitario;Pregrado universitario (Grado o Licenciatura).;Rara vez.;"Taxis;Buses municipales";"Por estudio;Por compromisos personales o familiares";No poseo licencia, pero estoy interesado en obtenerla pronto.;No;;;;;;;Sí;"Posibilidad de generar ingresos como propietario del vehículo;Mayor flexibilidad en horarios;Mejor negociación en condiciones de arriendo";"Posibles daños o mal uso del vehículo rentado;Desconfianza frente a clientes / personas desconocidas;Posible uso de vehículos para fines no autorizados;Falta de control en la entrega o devolución del vehículo;Falta de regulación por parte de entidades oficiales";No;;;;No;;;;;Sí;"A disposición personal.;Por horas.;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;;"Pueda confiar en la plataforma para que me consulten, o ellos mismos acepten y denieguen un servicio que me solicitan.;Pueda configurar qué tipo de solicitudes quiero recibir, para luego aceptarlas o denegarlas.;";"Entre $50.000 a $80.000 la hora.;";"Desde $350.000 en adelante.;";"Por transacción bancaria inmediata, una vez aprobado el servicio por mí y el cliente;Un respaldo con un pagaré automatizado por transferencia bancaria al finalizar el servicio por medio de Flex Drive";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;"Aceptaría pagar una comisión del 10% al 14% por servicio.;";¡Sí, me apuntaría en el presente o en el futuro!;"Por días.;Por semanas.;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;"Entre $30.000 a $50.000 la hora.;Entre $50.000 a $80.000 la hora.;";"Entre $250.000 a $350.000 el día.;Desde $350.000 en adelante.;";🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;;;Clara;Probable - Me gustaría conocer más de la plataforma antes de entrar.;Por llamada telefónica;22;[22, 24)
2025-05-02;07:06;Acepto.;18-25;Colombia;Tunja (Boyacá);Femenino.;3 - (Medio);Soy estudiante en estudios superiores o universitario;Pregrado universitario (Grado o Licenciatura).;Únicamente los fines de semana.;"Taxis;Buses municipales;Buses intermunicipales";Por compromisos personales o familiares;No poseo licencia, y tampoco estoy interesado en obtenerla en el momento.;No;;;;;;;No;"Posibilidad de generar ingresos como propietario del vehículo;Diversidad de vehículos para rentar / arrendar;Promueve la economía colaborativa";"Posibles daños o mal uso del vehículo rentado;Desconfianza frente a clientes / personas desconocidas;Falta de regulación por parte de entidades oficiales;Posible uso de vehículos para fines no autorizados;Falta de control en la entrega o devolución del vehículo";No;;;;No;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;¡Sí, me apuntaría en el presente o en el futuro!;"Por días.;Por horas.;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;;"Entre $15.000 a $30.000 la hora.;Entre $30.000 a $50.000 la hora.;";"Entre $100.000 a $150.000 el día.;";🟡Prioridad Media🟡;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;;;Clara;Neutral - Es un buen concepto que requiere más desarrollo.;"Un chat en la plataforma;Por llamada telefónica;Por chat con asesor mediante Whatsapp;Con un chatbot (Sea por plataforma, Whatsapp, u otro medio.)";7;[6, 8)
2025-05-02;04:55;Acepto.;18-25;Colombia;Villavicencio (Meta);Femenino.;3 - (Medio);Soy estudiante en estudios superiores o universitario;Pregrado universitario (Grado o Licenciatura).;Diariamente.;"Taxis;Buses municipales;Buses intermunicipales";"Por estudio;Por compromisos personales o familiares";Poseo licencia de conducción vigente o próxima a renovar.;Sí;Muy rara vez.;Un único vehículo.;Ocasionalmente lo comparto con mi familia, amigos o conocidos.;Motocicleta;;;Sí;"Mayor flexibilidad en horarios;Mejor negociación en condiciones de arriendo;Experiencia de negocio más personalizada";"Desconfianza frente a clientes / personas desconocidas;Posibles daños o mal uso del vehículo rentado;Posible uso de vehículos para fines no autorizados";No;;;;Sí;;DiDi;"Facilidad en el acceso al servicio.;Flexibilidad para adaptarse a mis necesidades.;Tecnología fácil de utilizar (a través de plataformas digitales, aplicaciones o códigos personales / QRs).).;";"Información confusa sobre los contratos;Poca o nula seguridad para accidentes o sin atención ante riesgos";No;;;;;;;;;;;;;;;;;;;;;;;;;;¡Sí, me apuntaría en el presente o en el futuro!;"Por horas.;Por días.;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;"Entre $15.000 a $30.000 la hora.;";"Entre $100.000 a $150.000 el día.;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;;;Clara;Probable - Me gustaría conocer más de la plataforma antes de entrar.;Por chat con asesor mediante Whatsapp;4;[4, 6)
2025-05-02;08:43;Acepto.;18-25;Colombia;Bogotá D.C.;Femenino.;2 - (Bajo - Medio);"Soy estudiante en estudios superiores o universitario;Estoy desempleado";Pregrado universitario (Grado o Licenciatura).;Diariamente.;Buses municipales;Por estudio;No poseo licencia, pero estoy interesado en obtenerla pronto.;No;;;;;;;Sí;"Mayor flexibilidad en horarios;Mejor negociación en condiciones de arriendo;Diversidad de vehículos para rentar / arrendar;Promueve la economía colaborativa;Aprovechamiento de vehículos particulares inactivos";"Posibles daños o mal uso del vehículo rentado;Falta de control en la entrega o devolución del vehículo";No;;;;No;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;¡Sí, me apuntaría en el presente o en el futuro!;"Por horas.;Por días.;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;;"Entre $30.000 a $50.000 la hora.;";"Entre $150.000 a $200.000 el día.;";🟡Prioridad Media🟡;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;;;Clara;Probable - Me gustaría conocer más de la plataforma antes de entrar.;"Por llamada telefónica;Por chat con asesor mediante Whatsapp;Con un chatbot (Sea por plataforma, Whatsapp, u otro medio.)";8;[8, 10)
2025-05-02;06:02;Acepto.;26-35;Colombia;Bogotá D.C.;Masculino.;3 - (Medio);Soy freelancer / independiente;Maestría (Estudios avanzados académicos o profesionales luego del posgrado).;Únicamente entre semana.;"Taxis;Buses municipales";Por trabajo;Poseo licencia de conducción vigente o próxima a renovar.;Sí;Diariamente.;Un único vehículo.;No, es un vehículo completamente propio.;Motocicleta;;;Sí;"Mayor flexibilidad en horarios;Posibilidad de generar ingresos como propietario del vehículo;Diversidad de vehículos para rentar / arrendar;Promueve la economía colaborativa";"Posibles daños o mal uso del vehículo rentado;Desconfianza frente a clientes / personas desconocidas;Falta de regulación por parte de entidades oficiales;Posible uso de vehículos para fines no autorizados";No;;;;No;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;¡Sí, me apuntaría en el presente o en el futuro!;"Por días.;";🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;"No me encuentro interesado en rentar por horas.;Entre $30.000 a $50.000 la hora.;";"Entre $150.000 a $200.000 el día.;";🟡Prioridad Media🟡;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;;;;Clara;Probable - Me gustaría conocer más de la plataforma antes de entrar.;"Un chat en la plataforma;Por chat con asesor mediante Whatsapp";6;[6, 8)
2025-05-02;03:24;Acepto.;18-25;Colombia;Fusagasuga (Cundinamarca);Masculino.;4 - (Medio Alto);Soy empleado;Pregrado universitario (Grado o Licenciatura).;Rara vez.;"Taxis;Buses municipales";Por compromisos personales o familiares;Poseo licencia de conducción vigente o próxima a renovar.;Sí;Diariamente.;Un único vehículo.;Ocasionalmente lo comparto con mi familia, amigos o conocidos.;Automóvil (carros, camionetas, entre otros);;;No;"Diversidad de vehículos para rentar / arrendar;Mayor flexibilidad en horarios";"Desconfianza frente a clientes / personas desconocidas;Posible uso de vehículos para fines no autorizados";No;;;;No;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;¡Sí, me apuntaría en el presente o en el futuro!;"Por días.;";🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🟢Prioridad Baja🟢;🔴Prioridad Alta🔴;;"Entre $30.000 a $50.000 la hora.;";"Entre $100.000 a $150.000 el día.;Entre $200.000 a $250.000 el día.;";🔴Prioridad Alta🔴;🟡Prioridad Media🟡;🟡Prioridad Media🟡;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;🔴Prioridad Alta🔴;;;;Clara;Probable - Me gustaría conocer más de la plataforma antes de entrar.;Un chat en la plataforma;3;[2, 4)
2025-05-03;03:37;Acepto.;18-25;Colombia;Duitama (Boyacá);Femenino.;2 - (Bajo - Medio);Soy estudiante en estudios superiores o universitario;Secundaria media (10° a 11°, o Vocacional, o Preparatoria).;Diariamente.;"Taxis;Buses municipales;Buses intermunicipales";Por estudio;No poseo licencia, pero estoy interesado en obtenerla pronto.;No;;;;;;;Sí;Mayor flexibilidad en horarios;Posibles daños o mal uso del vehículo rentado;No;;;;No;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No me llama la atención, gracias.;;;;;;;;;;;;;;;;;;;;;;;;Clara;Neutral - Es un buen concepto que requiere más desarrollo.;"Por llamada telefónica;Un chat en la plataforma";3;[2, 4)
